 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=De fleste uafhængige økonomer og de økonomiske vismænd, har påpeget, at en af de måder, som vil være ansvarlig en tid, hvor ledigheden stiger så meget, vil være at komme med en indsats, som tager toppen af ledigheden.
1-1	De	den	PM:p-u#:--:----	
75-30	på	_	_	
75-31	de	_	_	
75-32	forhandlinger	_	_	
75-33	,	_	_	
75-34	der	_	_	
75-35	i	_	_	
75-36	øjeblikket	_	_	
75-37	finder	_	_	
75-38	sted	_	_	
75-39	?	_	_	

#id=76
#text= i toppen.
76-1	i	_	_	
76-2	toppen	_	_	
76-3	.	_	_	

#id=77
#text= Vi skal tage toppen af den negative udvikling, men det nytter ikke noget, at vi bilder danskerne ind, at vi kan afmontere, at arbejdsløshedstallene stiger.
77-1	Vi	vi	PP:p-nc:--:-1n-	
77-2	skal	_	_	
77-3	tage	_	_	
77-4	toppen	_	_	
77-5	af	_	_	
77-6	den	_	_	
77-7	negative	_	_	
77-8	udvikling	_	_	
77-9	,	_	_	
77-10	men	_	_	
77-11	det	_	_	
77-12	nytter	_	_	
77-13	ikke	_	_	
77-14	noget	_	_	
77-15	,	_	_	
77-16	at	_	_	
77-17	vi	_	_	
77-18	bilder	_	_	
77-19	danskerne	_	_	
77-20	ind	_	_	
77-21	,	_	_	
77-22	at	_	_	
77-23	vi	_	_	
77-24	kan	_	_	
77-25	afmontere	_	_	
77-26	,	_	_	
77-27	at	_	_	
77-28	arbejdsløshedstallene	_	_	
77-29	stiger	_	_	
77-30	.	_	_	

#id=78
#text= Og vi kan tage toppen af krisen, og det gør vi:
78-1	Og	_	_	
78-2	vi	_	_	
78-3	kan	_	_	
78-4	tage	_	_	
78-5	toppen	_	_	
78-6	af	_	_	
78-7	krisen	_	_	
78-8	,	_	_	
78-9	og	_	_	
78-10	det	_	_	
78-11	gør	_	_	
78-12	vi	_	_	
78-13	:	_	_	

#id=79
#text= Hvad er på toppen af ministerens liste over gode ting som følge af 300-timers-reglen?
79-1	Hvad	_	_	
79-2	er	_	_	
79-3	på	_	_	
79-4	toppen	_	_	
79-5	af	_	_	
79-6	ministerens	_	_	
79-7	liste	_	_	
79-8	over	_	_	
79-9	gode	_	_	
79-10	ting	_	_	
79-11	som	_	_	
79-12	følge	_	_	
79-13	af	_	_	
79-14	300	_	_	
79-15	-	_	_	
79-16	timers	_	_	
79-17	-	_	_	
79-18	reglen	_	_	
79-19	?	_	_	

#id=80
#text= Vi skal sikre, at vi har vores virksomheder i god gænge, og at de har nogle fornuftige muligheder og en konkurrenceevne, som er i top den dag, konjunkturerne igen peger opad.
80-1	Vi	_	_	
80-2	skal	_	_	
80-3	sikre	_	_	
80-4	,	_	_	
80-5	at	_	_	
80-6	vi	_	_	
80-7	har	_	_	
80-8	vores	_	_	
80-9	virksomheder	_	_	
80-10	i	_	_	
80-11	god	_	_	
80-12	gænge	_	_	
80-13	,	_	_	
80-14	og	_	_	
80-15	at	_	_	
80-16	de	_	_	
80-17	har	_	_	
80-18	nogle	_	_	
80-19	fornuftige	_	_	
80-20	muligheder	_	_	
80-21	og	_	_	
80-22	en	_	_	
80-23	konkurrenceevne	_	_	
80-24	,	_	_	
80-25	som	_	_	
80-26	er	_	_	
80-27	i	_	_	
80-28	top	_	_	
80-29	den	_	_	
80-30	dag	_	_	
80-31	,	_	_	
80-32	konjunkturerne	_	_	
80-33	igen	_	_	
80-34	peger	_	_	
80-35	opad	_	_	
80-36	.	_	_	

#id=81
#text= Når vi kommer til dem i toppen af samfundet - ministre, der ikke kan finde ud af reglerne for at bruge deres ministerbiler, ministre, der ikke kan finde ud af bilagsregler, og politichefer, der ikke kan finde ud af, hvad man må rejse for, osv. - så skal vi ikke kræve lighed for loven, så får man lov at slippe.
81-1	Når	_	_	
81-2	vi	_	_	
81-3	kommer	_	_	
81-4	til	_	_	
81-5	dem	_	_	
81-6	i	_	_	
81-7	toppen	_	_	
81-8	af	_	_	
81-9	samfundet	_	_	
81-10	-	_	_	
81-11	ministre	_	_	
81-12	,	_	_	
81-13	der	_	_	
81-14	ikke	_	_	
81-15	kan	_	_	
81-16	finde	_	_	
81-17	ud	_	_	
81-18	af	_	_	
81-19	reglerne	_	_	
81-20	for	_	_	
81-21	at	_	_	
81-22	bruge	_	_	
81-23	deres	_	_	
81-24	ministerbiler	_	_	
81-25	,	_	_	
81-26	ministre	_	_	
81-27	,	_	_	
81-28	der	_	_	
81-29	ikke	_	_	
81-30	kan	_	_	
81-31	finde	_	VI:----:-a:----	
81-32	ud	_	_	
81-33	af	_	_	
81-34	bilagsregler	_	_	
81-35	,	_	_	
81-36	og	_	_	
81-37	politichefer	_	_	
81-38	,	_	_	
81-39	der	_	_	
81-40	ikke	_	_	
81-41	kan	_	_	
81-42	finde	_	_	
81-43	ud	_	_	
81-44	af	_	_	
81-45	,	_	_	
81-46	hvad	_	_	
81-47	man	_	_	
81-48	må	_	_	
81-49	rejse	_	_	
81-50	for	_	_	
81-51	,	_	_	
81-52	osv	_	_	
81-53	.	_	_	
81-54	-	_	_	
81-55	så	_	_	
81-56	skal	_	_	
81-57	vi	_	_	
81-58	ikke	_	_	
81-59	kræve	_	_	
81-60	lighed	_	_	
81-61	for	_	_	
81-62	loven	_	_	
81-63	,	_	_	
81-64	så	_	_	
81-65	får	_	_	
81-66	man	_	_	
81-67	lov	_	_	
81-68	at	_	_	
81-69	slippe	_	_	
81-70	.	_	_	

#id=82
#text=Men Venstre kræver ikke lighed for loven, når det gælder dem i toppen.
82-1	Men	_	_	
82-2	Venstre	_	_	
82-3	kræver	_	_	
82-4	ikke	_	_	
82-5	lighed	_	_	
82-6	for	_	_	
82-7	loven	_	_	
82-8	,	_	_	
82-9	når	_	_	
82-10	det	_	_	
82-11	gælder	_	_	
82-12	dem	_	_	
82-13	i	_	_	
82-14	toppen	_	_	
82-15	.	_	_	

#id=83
#text= Og når vi ved, at ledigheden vil stige hen over året - Dansk Industri taler om 100.000, og jeg tror efterhånden der er ved at være konsensus om, at vi har måske 100.000 eller flere ledige, når året er omme - så er det da nu, man skal træffe kloge beslutninger, sådan at vi kan tage toppen af den der ledighed og afbøde de værste konsekvenser i løbet af 2009.
83-1	Og	_	_	
83-2	når	_	_	
83-3	vi	_	_	
83-4	ved	_	_	
83-5	,	_	_	
83-6	at	_	_	
83-7	ledigheden	_	_	
83-8	vil	_	_	
83-9	stige	_	_	
83-10	hen	_	_	
83-11	over	_	_	
83-12	året	_	_	
83-13	-	_	_	
83-14	Dansk	_	_	
83-15	Industri	_	_	
83-16	taler	_	_	
83-17	om	_	_	
83-18	100	_	_	
83-19	.	_	_	
83-20	000	_	_	
83-21	,	_	_	
83-22	og	_	_	
83-23	jeg	_	_	
83-24	tror	_	_	
83-25	efterhånden	_	_	
83-26	der	_	_	
83-27	er	_	_	
83-28	ved	_	_	
83-29	at	_	_	
83-30	være	_	_	
83-31	konsensus	_	_	
83-32	om	_	_	
83-33	,	_	_	
83-34	at	_	_	
83-35	vi	_	_	
83-36	har	_	_	
83-37	måske	_	_	
83-38	100	_	_	
83-39	.	_	_	
83-40	000	_	_	
83-41	eller	_	_	
83-42	flere	_	_	
83-43	ledige	_	_	
83-44	,	_	_	
83-45	når	_	_	
83-46	året	_	_	
83-47	er	_	_	
83-48	omme	_	_	
83-49	-	_	_	
83-50	så	_	_	
83-51	er	_	_	
83-52	det	_	_	
83-53	da	_	_	
83-54	nu	_	_	
83-55	,	_	_	
83-56	man	_	_	
83-57	skal	_	_	
83-58	træffe	_	_	
83-59	kloge	_	_	
83-60	beslutninger	_	_	
83-61	,	_	_	
83-62	sådan	_	_	
83-63	at	_	_	
83-64	vi	_	_	
83-65	kan	_	_	
83-66	tage	_	_	
83-67	toppen	_	_	
83-68	af	_	_	
83-69	den	_	_	
83-70	der	_	_	
83-71	ledighed	_	_	
83-72	og	_	_	
83-73	afbøde	_	_	
83-74	de	_	_	
83-75	værste	_	_	
83-76	konsekvenser	_	_	
83-77	i	_	_	
83-78	løbet	_	_	
83-79	af	_	_	
83-80	2009	_	_	
83-81	.	_	_	

#id=84
#text= Mange sygehuse har gjort et stort stykke arbejde for at få hygiejnen, herunder også håndhygiejnen, i top.
84-1	Mange	_	_	
84-2	sygehuse	_	_	
84-3	har	_	_	
84-4	gjort	_	_	
84-5	et	_	_	
84-6	stort	_	_	
84-7	stykke	_	_	
84-8	arbejde	_	_	
84-9	for	_	_	
84-10	at	_	_	
84-11	få	_	_	
84-12	hygiejnen	_	_	
84-13	,	_	_	
84-14	herunder	_	_	
84-15	også	_	_	
84-16	håndhygiejnen	_	_	
84-17	,	_	_	
84-18	i	_	_	
84-19	top	_	_	
84-20	.	_	_	

#id=85
#text= Mange af de problemer, der er på sygehusene, handler også om, at der er skåret så meget økonomisk i rengøringshjælpen og i forhold til de arbejdsmuligheder, der er for personalet, at det medfører, at der ikke bliver gjort godt nok rent, og at hygiejnen derfor ikke er helt i top.
85-1	Mange	_	_	
85-2	af	_	_	
85-3	de	_	_	
85-4	problemer	_	_	
85-5	,	_	_	
85-6	der	_	_	
85-7	er	_	_	
85-8	på	_	_	
85-9	sygehusene	_	_	
85-10	,	_	_	
85-11	handler	_	_	
85-12	også	_	_	
85-13	om	_	_	
85-14	,	_	_	
85-15	at	_	_	
85-16	der	_	_	
85-17	er	_	_	
85-18	skåret	_	_	
85-19	så	_	_	
85-20	meget	_	_	
85-21	økonomisk	_	_	
85-22	i	_	_	
85-23	rengøringshjælpen	_	_	
85-24	og	_	_	
85-25	i	_	_	
85-26	forhold	_	_	
85-27	til	_	_	
85-28	de	_	_	
85-29	arbejdsmuligheder	_	_	
85-30	,	_	_	
85-31	der	_	_	
85-32	er	_	_	
85-33	for	_	_	
85-34	personalet	_	_	
85-35	,	_	_	
85-36	at	_	_	
85-37	det	_	_	
85-38	medfører	_	_	
85-39	,	_	_	
85-40	at	_	_	
85-41	der	_	_	
85-42	ikke	_	_	
85-43	bliver	_	_	
85-44	gjort	_	_	
85-45	godt	_	_	
85-46	nok	_	_	
85-47	rent	_	_	
85-48	,	_	_	
85-49	og	_	_	
85-50	at	_	_	
85-51	hygiejnen	_	_	
85-52	derfor	_	_	
85-53	ikke	_	_	
85-54	er	_	_	
85-55	helt	_	_	
85-56	i	_	_	
85-57	top	_	_	
85-58	.	_	_	

#id=86
#text= Der er en kongekrone, og i toppen af kronen er der et kors.
86-1	Der	_	_	
86-2	er	_	_	
86-3	en	_	_	
86-4	kongekrone	_	_	
86-5	,	_	_	
86-6	og	_	_	
86-7	i	_	_	
86-8	toppen	_	_	
86-9	af	_	_	
86-10	kronen	_	_	
86-11	er	_	_	
86-12	der	_	_	
86-13	et	_	_	
86-14	kors	_	_	
86-15	.	_	_	

#id=87
#text= Da lovforslaget skal ramme bredt, kan man udmærket forstå, at det forekommer vanskeligt at sætte grænser i top og bund, der kan være rimelige set fra alle vinkler.
87-1	Da	_	_	
87-2	lovforslaget	_	_	
87-3	skal	_	_	
87-4	ramme	_	_	
87-5	bredt	_	_	
87-6	,	_	_	
87-7	kan	_	_	
87-8	man	_	_	
87-9	udmærket	_	_	
87-10	forstå	_	_	
87-11	,	_	_	
87-12	at	_	_	
87-13	det	_	_	
87-14	forekommer	_	_	
87-15	vanskeligt	_	_	
87-16	at	_	_	
87-17	sætte	_	_	
87-18	grænser	_	_	
87-19	i	_	_	
87-20	top	_	_	
87-21	og	_	_	
87-22	bund	_	_	
87-23	,	_	_	
87-24	der	_	_	
87-25	kan	_	_	
87-26	være	_	_	
87-27	rimelige	_	_	
87-28	set	_	_	
87-29	fra	_	_	
87-30	alle	_	_	
87-31	vinkler	_	_	
87-32	.	_	_	

#id=88
#text=Toppen er blevet taget af bankernes grådighed, vi har lagt en begrænsning for, hvor stor en del af bankdirektørernes løn der kan trækkes fra i skat.
88-1	Toppen	_	_	
88-2	er	_	_	
88-3	blevet	_	_	
88-4	taget	_	_	
88-5	af	_	_	
88-6	bankernes	_	_	
88-7	grådighed	_	_	
88-8	,	_	_	
88-9	vi	_	_	
88-10	har	_	_	
88-11	lagt	_	_	
88-12	en	_	_	
88-13	begrænsning	_	_	
88-14	for	_	_	
88-15	,	_	_	
88-16	hvor	_	_	
88-17	stor	_	_	
88-18	en	_	_	
88-19	del	_	_	
88-20	af	_	_	
88-21	bankdirektørernes	_	_	
88-22	løn	_	_	
88-23	der	_	_	
88-24	kan	_	_	
88-25	trækkes	_	_	
88-26	fra	_	_	
88-27	i	_	_	
88-28	skat	_	_	
88-29	.	_	_	

#id=89
#text=Vi har med pakken sørget for at være med til at tage toppen af grådigheden hos bankdirektørerne, der har tjent alt for mange penge i alt for mange år og ført en uansvarlig ledelse for mange bankers vedkommende, at få et strengere tilsyn, som vi gerne vil have gjort endnu strengere, og vi vil fortsætte med at kæmpe for den vækstpakke, som vi er enige om der er behov for.
89-1	Vi	_	_	
89-2	har	_	_	
89-3	med	_	_	
89-4	pakken	_	_	
89-5	sørget	_	_	
89-6	for	_	_	
89-7	at	_	_	
89-8	være	_	_	
89-9	med	_	_	
89-10	til	_	_	
89-11	at	_	_	
89-12	tage	_	_	
89-13	toppen	_	_	
89-14	af	_	_	
89-15	grådigheden	_	_	
89-16	hos	_	_	
89-17	bankdirektørerne	_	_	
89-18	,	_	_	
89-19	der	_	_	
89-20	har	_	_	
89-21	tjent	_	_	
89-22	alt	_	_	
89-23	for	_	_	
89-24	mange	_	_	
89-25	penge	_	_	
89-26	i	_	_	
89-27	alt	_	_	
89-28	for	_	_	
89-29	mange	_	_	
89-30	år	_	_	
89-31	og	_	_	
89-32	ført	_	_	
89-33	en	_	_	
89-34	uansvarlig	_	_	
89-35	ledelse	_	_	
89-36	for	_	_	
89-37	mange	_	_	
89-38	bankers	_	_	
89-39	vedkommende	_	_	
89-40	,	_	_	
89-41	at	_	_	
89-42	få	_	_	
89-43	et	_	_	
89-44	strengere	_	_	
89-45	tilsyn	_	_	
89-46	,	_	_	
89-47	som	_	_	
89-48	vi	_	_	
89-49	gerne	_	_	
89-50	vil	_	_	
89-51	have	_	_	
89-52	gjort	_	_	
89-53	endnu	_	_	
89-54	strengere	_	_	
89-55	,	_	_	
89-56	og	_	_	
89-57	vi	_	_	
89-58	vil	_	_	
89-59	fortsætte	_	_	
89-60	med	_	_	
89-61	at	_	_	
89-62	kæmpe	_	_	
89-63	for	_	_	
89-64	den	_	_	
89-65	vækstpakke	_	_	
89-66	,	_	_	
89-67	som	_	_	
89-68	vi	_	_	
89-69	er	_	_	
89-70	enige	_	_	
89-71	om	_	_	
89-72	der	_	_	
89-73	er	_	_	
89-74	behov	_	_	
89-75	for	_	_	
89-76	.	_	_	

#id=90
#text= Det gælder såvel karrierekvinden, som stræber efter en post i toppen af samfundet, som manden, der har ønsket og har valgt at gå hjemme og se børnene vokse op.
90-1	Det	_	_	
90-2	gælder	_	_	
90-3	såvel	_	_	
90-4	karrierekvinden	_	_	
90-5	,	_	_	
90-6	som	_	_	
90-7	stræber	_	_	
90-8	efter	_	_	
90-9	en	_	_	
90-10	post	_	_	
90-11	i	_	_	
90-12	toppen	_	_	
90-13	af	_	_	
90-14	samfundet	_	_	
90-15	,	_	_	
90-16	som	_	_	
90-17	manden	_	_	
90-18	,	_	_	
90-19	der	_	_	
90-20	har	_	_	
90-21	ønsket	_	_	
90-22	og	_	_	
90-23	har	_	_	
90-24	valgt	_	_	
90-25	at	_	_	
90-26	gå	_	_	
90-27	hjemme	_	_	
90-28	og	_	_	
90-29	se	_	_	
90-30	børnene	_	_	
90-31	vokse	_	_	
90-32	op	_	_	
90-33	.	_	_	

